negatives
"('P35226', 'O75525')"
"('Q969W1', 'P48039')"
"('P60484', 'P26373')"
"('Q8TC76', 'Q8TEH3')"
"('P06748', 'Q6DKI1')"
"('P36873', 'Q8WVC0')"
"('Q9Y6E0', 'Q9NZL9')"
"('Q99459', 'P31689')"
"('P11388', 'P15927')"
"('Q86VP6', 'Q8IY57')"
"('Q9GZM8', 'Q99959')"
"('Q9Y6I3', 'Q16625')"
"('Q8NB49', 'Q8WXA8')"
"('P32456', 'Q92734')"
"('P25098', 'P51686')"
"('P00533', 'P07947')"
"('Q8TBZ8', 'O75478')"
"('Q9BXY0', 'Q15717')"
"('O15427', 'P12830')"
"('Q9BY89', 'O94986')"
"('O75607', 'P62807')"
"('Q9UL17', 'P49682')"
"('P08047', 'Q58WW2')"
"('P15927', 'Q96DI7')"
"('Q9UHB6', 'Q96S53')"
"('Q9BV20', 'Q96AT9')"
"('Q9P032', 'O75439')"
"('Q14145', 'O14980')"
"('P04792', 'P03372')"
"('Q9HC77', 'Q9UBB4')"
"('Q96CS3', 'Q13200')"
"('O00291', 'P53675')"
"('O14980', 'Q9NZL9')"
"('O75663', 'Q9BR76')"
"('Q96T91', 'P0DN86')"
"('Q96MX6', 'P60903')"
"('P05388', 'P37235')"
"('P16333', 'P42566')"
"('P23258', 'Q9NS23')"
"('Q8IUH5', 'Q12772')"
"('P24588', 'O95232')"
"('P61106', 'Q9H1K0')"
"('P35222', 'Q13418')"
"('O14757', 'P35611')"
"('Q9UHD0', 'P15260')"
"('P53041', 'Q9Y2Z0')"
"('Q9Y223', 'Q15042')"
"('Q8NGV5', 'P38405')"
"('Q8NAV1', 'Q14181')"
"('P60520', 'Q5C9Z4')"
"('Q96T76', 'Q9HCI7')"
"('Q9HCK5', 'P07910')"
"('P05814', 'P68400')"
"('O43252', 'P04629')"
"('Q96E35', 'Q8IUR7')"
"('Q5S007', 'P62280')"
"('P45983', 'Q86T29')"
"('Q00577', 'P35250')"
"('Q6A162', 'P62913')"
"('O43559', 'Q92764')"
"('Q13895', 'P38432')"
"('P40337', 'P37802')"
"('Q9P0L0', 'Q9BZ71')"
"('P08581', 'P01112')"
"('Q6IQ23', 'Q8NFW8')"
"('O60637', 'Q9BT67')"
"('Q86WV6', 'Q12933')"
"('P50238', 'Q96AE4')"
"('P27449', 'O43889')"
"('Q99459', 'Q96JN2')"
"('Q15389', 'P00533')"
"('Q9BV40', 'P62258')"
"('Q9UM73', 'P23471')"
"('P13224', 'P40197')"
"('P42858', 'Q96KD3')"
"('Q9H0C8', 'P39880')"
"('O76021', 'Q9NX58')"
"('P22681', 'Q96J02')"
"('Q9BQE3', 'P25705')"
"('Q15717', 'P35241')"
"('Q9BV38', 'P34897')"
"('Q96M91', 'P36406')"
"('Q9NR12', 'Q99459')"
"('Q8NHV4', 'P17980')"
"('Q9H8W4', 'Q9Y5Z4')"
"('P10144', 'Q71U36')"
"('O60732', 'O75116')"
"('Q86T82', 'Q9NSB2')"
"('Q9ULK4', 'Q8N1G0')"
"('P56856', 'P56750')"
"('Q8IXJ6', 'P11413')"
"('P02751', 'P19827')"
"('P32969', 'P62854')"
"('Q13217', 'Q9NZJ5')"
"('Q01094', 'Q8WTS6')"
"('P08648', 'P05556')"
"('P0CG13', 'P22314')"
"('P46778', 'Q9UQ80')"
"('P42765', 'O14746')"
"('Q2V2M9', 'O95714')"
"('Q15628', 'O75604')"
"('Q14204', 'Q8NC51')"
"('Q8IUQ4', 'P08247')"
"('Q9BSB4', 'Q9H1Y0')"
"('P29400', 'O00339')"
"('O75582', 'P19419')"
"('P01008', 'P00742')"
"('Q92552', 'A7E2Y1')"
"('Q01826', 'Q06330')"
"('Q15165', 'O95613')"
"('Q04637', 'P38919')"
"('Q13561', 'Q8TD16')"
"('P62805', 'P24941')"
"('Q15404', 'O43143')"
"('Q9BT22', 'P10828')"
"('Q9NQ31', 'Q8NA72')"
"('Q9NRC8', 'Q9ULT8')"
"('P15884', 'Q8TEK3')"
"('P08238', 'Q08881')"
"('O14974', 'Q9Y606')"
"('P25787', 'P28072')"
"('P06858', 'P98155')"
"('P28074', 'Q9UNM6')"
"('Q00839', 'O95232')"
"('P15498', 'P10275')"
"('Q96HA8', 'Q5T751')"
"('P49841', 'Q9Y6K9')"
"('Q16611', 'O00273')"
"('P60709', 'Q9H981')"
"('Q7L2J0', 'P09661')"
"('Q93034', 'P07437')"
"('Q8N5M1', 'Q04864')"
"('Q9NPH3', 'P51617')"
"('P11021', 'P68366')"
"('A6ND48', 'O60262')"
"('P68400', 'P60484')"
"('Q9HAW8', 'P05067')"
"('P62258', 'Q6PEY2')"
"('Q9NVP2', 'P25205')"
"('P68104', 'P27708')"
"('Q70UQ0', 'Q8NBR6')"
"('Q99523', 'Q96A73')"
"('P01871', 'Q16644')"
"('Q8IU60', 'Q9UJ14')"
"('Q15084', 'Q8N163')"
"('Q99732', 'P21964')"
"('P78362', 'A6NC98')"
"('Q9NUX5', 'Q01813')"
"('O75147', 'Q6DKI1')"
"('O75410', 'O95619')"
"('Q9HCE1', 'Q13618')"
"('P19320', 'Q92614')"
"('P35232', 'P06576')"
"('P28070', 'Q3LI72')"
"('P61457', 'Q63HM1')"
"('P78563', 'P09651')"
"('Q6P3W7', 'P32121')"
"('P11142', 'P31327')"
"('Q6PJG9', 'P38646')"
"('Q13618', 'P50993')"
"('Q8NGS2', 'P62873')"
"('Q9H0A6', 'P29474')"
"('P51149', 'Q9H269')"
"('Q9H492', 'P22626')"
"('P05412', 'Q92616')"
"('Q9GZV4', 'Q01844')"
"('Q9Y3U8', 'O00567')"
"('P61313', 'P47897')"
"('P54760', 'Q9NPB6')"
"('Q9NR30', 'O00422')"
"('P08238', 'Q6ZMZ0')"
"('Q16539', 'P03372')"
"('P07814', 'Q49AN0')"
"('Q86SE5', 'Q8WTP8')"
"('P68400', 'Q9Y6W5')"
"('Q92844', 'Q9UHD2')"
"('P45974', 'P49902')"
"('Q9NS23', 'Q9H5I1')"
"('O15357', 'P13612')"
"('P35241', 'P13796')"
"('P30556', 'P32121')"
"('Q13895', 'Q8IVT5')"
"('O95817', 'Q6UXU6')"
"('P62310', 'Q9Y696')"
"('Q08426', 'Q13838')"
"('Q15370', 'Q9BQL6')"
"('P15927', 'P11586')"
"('P17861', 'Q8IYI8')"
"('Q2MV58', 'Q9BT09')"
"('P63279', 'P19544')"
"('O75955', 'P82675')"
"('Q01081', 'P18206')"
"('Q8IVW6', 'Q9UPM6')"
"('O75674', 'Q00610')"
"('P49715', 'P04150')"
"('O75376', 'Q00796')"
"('Q7L0Q8', 'Q14141')"
"('Q9UKG1', 'Q86X19')"
"('P62993', 'Q8N5U6')"
"('Q99814', 'Q8N1L9')"
"('Q9UHG3', 'O14745')"
"('Q9ULW3', 'Q9BRK4')"
"('P24534', 'Q9UQ35')"
"('Q99755', 'Q8N5Z5')"
"('Q9Y2R9', 'Q9H0U6')"
"('P01889', 'P01732')"
"('P04156', 'Q05193')"
"('Q9Y4D1', 'O00212')"
"('Q8NHL6', 'P04439')"
"('P05231', 'Q5VWK5')"
"('P56270', 'Q14145')"
"('P22612', 'Q8NGS8')"
"('P04406', 'P48637')"
"('Q96P70', 'P07686')"
"('Q9Y5Q8', 'Q9BV73')"
"('O95429', 'Q86UX2')"
"('Q05209', 'Q92688')"
"('P05113', 'P19235')"
"('Q17RG1', 'Q8N5R6')"
"('P12236', 'Q9P2P5')"
"('Q15561', 'O75376')"
"('P31749', 'P02765')"
"('Q15717', 'Q9H4G4')"
"('P62249', 'P62750')"
"('Q00059', 'Q9H5Q4')"
"('Q9NZC3', 'Q6DD88')"
"('Q6UWE0', 'O75604')"
"('P41240', 'O43294')"
"('Q92993', 'Q5JVS0')"
"('P60520', 'P62736')"
"('Q9NQL2', 'Q9Y2Q5')"
"('Q02790', 'P62942')"
"('Q13813', 'P38919')"
"('P62380', 'Q8N357')"
"('Q9UKV3', 'Q15050')"
"('Q06413', 'Q02078')"
"('Q92499', 'P60520')"
"('P62241', 'P46783')"
"('P24941', 'Q9BW66')"
"('P51398', 'O95166')"
"('P47890', 'Q9P2W3')"
"('P78371', 'P61964')"
"('P63218', 'O60840')"
"('Q9BUV8', 'Q9NW97')"
"('P62068', 'P14649')"
"('Q6FI81', 'P49189')"
"('Q9Y547', 'Q9BW83')"
"('Q15025', 'O14980')"
"('Q01844', 'Q99459')"
"('P09455', 'Q8IXJ6')"
"('Q9BY27', 'Q05D60')"
"('Q92673', 'Q5HYJ3')"
"('Q9H5I1', 'P45973')"
"('Q9Y2X0', 'Q96RN5')"
"('Q9NRQ2', 'Q5TA45')"
"('Q14204', 'P49810')"
"('P09913', 'Q05516')"
"('Q7KZF4', 'O75147')"
"('P13224', 'Q92569')"
"('Q02790', 'Q08209')"
"('Q9Y224', 'Q8N4C6')"
"('O95785', 'Q6VAB6')"
"('P49407', 'P16403')"
"('P62316', 'Q92905')"
"('Q9Y262', 'B5ME19')"
"('Q9UKT9', 'P25800')"
"('O15164', 'Q92731')"
"('Q9GZQ8', 'Q9Y4P1')"
"('Q9NQL9', 'Q6DKK2')"
"('Q9BX59', 'Q6UY14')"
"('P52803', 'P49447')"
"('P48039', 'Q96NT1')"
"('O00422', 'P26368')"
"('Q9BWD1', 'Q15365')"
"('Q8NHQ8', 'P05067')"
"('Q96P20', 'P59047')"
"('P05067', 'Q13258')"
"('P05067', 'Q9Y3E7')"
"('Q7Z5B4', 'P11142')"
"('Q8TCT1', 'P22314')"
"('Q9NZN8', 'Q9UPQ9')"
"('P68400', 'P05067')"
"('P05412', 'P04637')"
"('Q9UHQ4', 'Q9H009')"
"('P55316', 'Q15738')"
"('Q68CZ6', 'Q7Z4H7')"
"('P55060', 'P48552')"
"('O94829', 'P30466')"
"('P26439', 'Q13285')"
"('P98175', 'P24864')"
"('Q86Y33', 'Q96R06')"
"('P60411', 'Q68DK2')"
"('P43360', 'Q96A33')"
"('Q15262', 'Q12891')"
"('Q8WZ94', 'P62873')"
"('Q12830', 'P35659')"
"('Q969W0', 'A8MQ03')"
"('Q9Y6B2', 'P04908')"
"('Q8WV44', 'Q9NWQ4')"
"('P61088', 'Q969Q1')"
"('Q99558', 'P27635')"
"('Q9H4A5', 'P55072')"
"('P15927', 'O60870')"
"('P81408', 'P11117')"
"('P50222', 'P36383')"
"('P14635', 'Q14674')"
"('P11362', 'Q3KPI0')"
"('Q14197', 'Q9NVI7')"
"('Q16623', 'Q96F15')"
"('P0DP23', 'O14730')"
"('Q9Y2H9', 'Q00535')"
"('O15212', 'P33240')"
"('P34947', 'P10589')"
"('Q5BKU9', 'Q8N5M1')"
"('P22694', 'P52945')"
"('Q13616', 'P13645')"
"('P40933', 'P16471')"
"('P54646', 'Q13586')"
"('P68104', 'P32969')"
"('O75031', 'P55081')"
"('Q13748', 'P41279')"
"('O75364', 'Q13330')"
"('Q9NWZ3', 'P52732')"
"('P07237', 'P03372')"
"('Q96FE5', 'Q9BQ66')"
"('P05412', 'Q96EY7')"
"('Q9Y6A9', 'Q6NUS6')"
"('P04792', 'Q9BRT2')"
"('Q9Y6D6', 'Q9Y6D5')"
"('Q15019', 'O43395')"
"('Q8WUH2', 'Q9H270')"
"('Q9BUV8', 'O00571')"
"('P08621', 'Q99757')"
"('Q14966', 'Q9P2M7')"
"('P78362', 'Q9BTC0')"
"('P0CL80', 'Q96IK5')"
"('Q9Y6X2', 'P63165')"
"('P80404', 'Q9Y281')"
"('O15514', 'P12931')"
"('P17612', 'P27986')"
"('Q8WW01', 'Q9H0I2')"
"('O94762', 'O95071')"
"('Q16795', 'Q9NX14')"
"('P63104', 'P10636')"
"('Q24JP5', 'P13533')"
"('Q13488', 'P62269')"
"('Q3LI76', 'A8MQ03')"
"('P14678', 'P78362')"
"('Q86YQ8', 'Q13347')"
"('Q9UBU9', 'Q9H6R4')"
"('P37840', 'O60716')"
"('Q5VW32', 'P02751')"
"('P42766', 'P62945')"
"('Q9HCE1', 'P53814')"
"('Q9BRT8', 'P53582')"
"('P78371', 'P78318')"
"('P62829', 'A6NK59')"
"('Q12888', 'Q14980')"
"('Q96L94', 'Q92997')"
"('Q9UBF6', 'Q9H672')"
"('O76003', 'Q8TBB1')"
"('Q13310', 'Q58A45')"
"('P36406', 'Q96CJ1')"
"('Q9H1Y0', 'Q9H0R8')"
"('P05783', 'Q504Q3')"
"('P61326', 'Q06830')"
"('Q14203', 'P22570')"
"('Q9BZ71', 'P55774')"
"('Q9HBE1', 'Q9Y240')"
"('P46777', 'Q5SSJ5')"
"('P49674', 'Q14693')"
"('P62333', 'P34947')"
"('Q99575', 'Q13616')"
"('Q9BYQ4', 'O60336')"
"('Q9P0L0', 'Q9ULH0')"
"('Q13151', 'Q13617')"
"('P35968', 'P09619')"
"('P12004', 'Q9Y2K1')"
"('P01889', 'Q01813')"
"('Q99871', 'Q9NVX0')"
"('Q99459', 'Q9BW85')"
"('Q9H0W5', 'Q9Y3T9')"
"('P07996', 'Q15113')"
"('P41250', 'Q02779')"
"('P05067', 'Q6P1Q9')"
"('Q7Z3S9', 'P09603')"
"('Q92556', 'Q9Y3C7')"
"('P51531', 'P49336')"
"('Q8NEF9', 'Q969U6')"
"('P25786', 'Q13200')"
"('Q9NRA8', 'Q86UW9')"
"('Q01968', 'O15027')"
"('Q8N114', 'Q92754')"
"('Q8NC51', 'P36578')"
"('P08238', 'Q9C0B0')"
"('P51809', 'Q16623')"
"('Q567U6', 'P61244')"
"('Q7L266', 'Q13387')"
"('P32121', 'Q96RA2')"
"('O96028', 'Q16637')"
"('Q99567', 'O95166')"
"('Q15369', 'Q8WXH5')"
"('P48553', 'P46531')"
"('O43151', 'O95163')"
"('P06733', 'P55854')"
"('Q9UBU9', 'P11441')"
"('O60907', 'O14980')"
"('Q9Y2D9', 'Q96KQ4')"
"('Q9NVU0', 'Q9Y230')"
"('Q8TAU3', 'Q6P0Q8')"
"('Q14690', 'Q16666')"
"('Q15013', 'Q9Y6D9')"
"('Q9NQT4', 'Q9UKT9')"
"('P49419', 'Q96EM0')"
"('P46527', 'P61970')"
"('P31751', 'Q15118')"
"('P05067', 'Q8IYM1')"
"('P31942', 'P16104')"
"('Q9BV19', 'Q8NFM4')"
"('P52597', 'P25788')"
"('Q9GZT9', 'P43362')"
"('O43157', 'P16885')"
"('P84103', 'Q96AE4')"
"('Q9BRA2', 'P45974')"
"('O60826', 'Q07960')"
"('Q9BV73', 'O75420')"
"('Q07812', 'Q02750')"
"('P14923', 'P24941')"
"('P62330', 'P50148')"
"('Q8WW22', 'P31689')"
"('Q5T200', 'Q9H204')"
"('Q68CP9', 'Q969G3')"
"('O95400', 'Q9BUJ2')"
"('Q9UET6', 'Q96AG4')"
"('P01023', 'Q9BVC4')"
"('Q9H160', 'Q92769')"
"('P05230', 'Q99584')"
"('P62079', 'Q9NRZ7')"
"('Q04917', 'P30291')"
"('P37198', 'Q70UQ0')"
"('Q8NHV4', 'Q6BDS2')"
"('P43234', 'P55957')"
"('P63218', 'Q9UGI9')"
"('P01106', 'Q9NXS2')"
"('O60337', 'P62837')"
"('Q9NR30', 'P26368')"
"('Q14244', 'Q96RG2')"
"('Q6ZSZ5', 'Q14919')"
"('Q96PY6', 'P04004')"
"('Q99496', 'P41091')"
"('O95835', 'Q9NQS7')"
"('P11498', 'P04629')"
"('Q9BV73', 'P08238')"
"('Q0PNE2', 'P78362')"
"('Q9NQ29', 'Q5T440')"
"('Q13351', 'Q969G3')"
"('Q8NHV4', 'O75665')"
"('Q9H211', 'Q9P270')"
"('Q6Y7W6', 'Q08AD1')"
"('Q13618', 'P42677')"
"('P63146', 'O94888')"
"('P51784', 'P49761')"
"('Q99626', 'Q96GM5')"
"('P01106', 'Q9GZS1')"
"('P61619', 'O00716')"
"('P15814', 'Q9UHD9')"
"('P23508', 'P55735')"
"('Q8NEZ2', 'O14980')"
"('Q7L576', 'Q9NZC7')"
"('P83731', 'P62269')"
"('Q9Y297', 'Q16236')"
"('P62140', 'O15516')"
"('Q07627', 'Q9H2X0')"
"('Q9BWT7', 'Q86VE0')"
"('Q9UJV9', 'O60506')"
"('P34932', 'P54274')"
"('P63220', 'P19320')"
"('Q99755', 'Q8N4G2')"
"('P50120', 'Q15014')"
"('P54259', 'Q70EL1')"
"('Q86WJ1', 'Q5FBB7')"
"('Q8NBT2', 'O14939')"
"('Q9UBS0', 'Q15233')"
"('Q15717', 'Q4G0W2')"
"('Q9UKM9', 'Q8IWS0')"
"('P09543', 'P04156')"
"('Q9BYD1', 'Q9BZE1')"
"('Q15759', 'P10636')"
"('Q6UWE0', 'Q14164')"
"('Q9BRA2', 'Q8TBC4')"
"('Q9Y6E7', 'P11498')"
"('P25205', 'Q13451')"
"('Q07666', 'Q08881')"
"('O14530', 'Q8ND90')"
"('Q8TAQ5', 'P63279')"
"('P38606', 'Q9UL26')"
"('P14543', 'P98160')"
"('Q99741', 'P54274')"
"('Q07666', 'P20936')"
"('P45973', 'Q14592')"
"('P02679', 'Q5VWX1')"
"('O75920', 'Q96SB4')"
"('Q6P1K8', 'Q13889')"
"('Q13526', 'P81877')"
"('P10914', 'P60900')"
"('Q9H9Z2', 'Q6PKG0')"
"('Q9Y275', 'Q6PJG6')"
"('P30989', 'P30679')"
"('P78406', 'O60684')"
"('O95292', 'Q86WH2')"
"('Q8TBA6', 'Q9HCH0')"
"('P11802', 'Q9UKT9')"
"('P08670', 'Q16512')"
"('Q9Y4Y9', 'Q96E14')"
"('O95600', 'Q13363')"
"('P32121', 'Q13233')"
"('Q96SI9', 'Q12905')"
"('Q9BRL6', 'P60033')"
"('Q9Y3U8', 'Q12904')"
"('Q9Y2Z0', 'O76003')"
"('Q15596', 'O75717')"
"('Q9UQL6', 'P55060')"
"('P33981', 'Q9Y6D9')"
"('Q16576', 'P45973')"
"('Q96BR9', 'Q9UIF8')"
"('Q15388', 'Q9H9B4')"
"('Q96LZ3', 'Q08209')"
"('Q12913', 'P10721')"
"('Q6IQ23', 'O14950')"
"('O95684', 'Q9C0F1')"
"('Q13310', 'P63104')"
"('Q9UBN6', 'Q13546')"
"('Q15020', 'P49720')"
"('Q8IYB4', 'Q9Y3Q4')"
"('Q9H329', 'Q15717')"
"('Q9Y573', 'Q13618')"
"('Q8N7P3', 'P78369')"
"('Q7KZ85', 'O00267')"
"('Q9BYM8', 'P61086')"
"('Q96ST2', 'P60369')"
"('Q5TA79', 'P32242')"
"('Q96HA8', 'Q15486')"
"('O14646', 'Q15717')"
"('Q8NFP7', 'Q9NS23')"
"('P31995', 'P12318')"
"('P62316', 'Q9BQA1')"
"('Q92747', 'Q15717')"
"('P08670', 'O95166')"
"('Q13315', 'Q9UQ84')"
"('Q9BY41', 'P23527')"
"('Q15842', 'Q8TDD5')"
"('Q9Y2R4', 'Q9UNQ2')"
"('Q96LA8', 'Q9Y3A6')"
"('Q01130', 'P0DMV8')"
"('P35250', 'P78527')"
"('Q9Y6Y0', 'P51784')"
"('Q01968', 'P54920')"
"('P62258', 'Q9H4L5')"
"('P61201', 'P34947')"
"('Q9UKD2', 'Q9BYG3')"
"('Q9GZL7', 'Q9BRG1')"
"('Q8N0S2', 'P09493')"
"('P62851', 'P63244')"
"('Q8IYB3', 'O43791')"
"('O95343', 'Q5BKZ1')"
"('P03372', 'Q15025')"
"('Q9Y572', 'P78362')"
"('Q14258', 'Q16881')"
"('Q96B86', 'Q5PRF9')"
"('Q14192', 'Q8IVT2')"
"('P52565', 'P55957')"
"('P42765', 'Q4J6C6')"
"('P56556', 'P62380')"
"('Q9NTJ5', 'P53618')"
"('Q9BVJ6', 'Q00839')"
"('P38936', 'P30281')"
"('P46934', 'P61247')"
"('O75643', 'Q9NRC8')"
"('P50552', 'P61960')"
"('Q9NWQ9', 'Q8TBN0')"
"('O95718', 'O60260')"
"('Q12905', 'Q9H492')"
"('P22612', 'Q8NGN0')"
"('O14949', 'P17568')"
"('P11413', 'Q9NZL9')"
"('Q13797', 'Q9Y4G6')"
"('P04626', 'P67775')"
"('P35998', 'P43686')"
"('Q00839', 'Q9UBX2')"
"('Q15648', 'Q7Z713')"
"('Q14999', 'P31942')"
"('Q96GQ7', 'Q96DB2')"
"('Q06124', 'P17948')"
"('Q8TAE8', 'Q9NPD3')"
"('Q92922', 'Q13351')"
"('P28074', 'P08670')"
"('P61077', 'Q76N89')"
"('Q13838', 'Q6I9Y2')"
"('P56381', 'Q9NX40')"
"('Q9NQX4', 'Q9NX61')"
"('Q92934', 'P32119')"
"('Q9NZN5', 'Q8IXI1')"
"('P42858', 'Q5F1R6')"
"('P14778', 'Q9Y616')"
"('O15111', 'Q9BYH8')"
"('P46777', 'P62424')"
"('P13378', 'P18754')"
"('P68371', 'Q13885')"
"('Q9ULM3', 'P54687')"
"('Q9NRD1', 'Q9Y230')"
"('Q15691', 'Q53G59')"
"('P60033', 'P09874')"
"('Q5SSJ5', 'P42166')"
"('Q3SY84', 'O95166')"
"('Q99986', 'Q14789')"
"('P61160', 'Q9NVE7')"
"('Q969H0', 'P61160')"
"('P06748', 'O00308')"
"('Q15723', 'P18146')"
"('P0DMN0', 'P34896')"
"('Q9NVC6', 'Q15528')"
"('Q9H8Y8', 'O14974')"
"('Q9H3G5', 'Q13625')"
"('P07202', 'P24394')"
"('P78563', 'Q96KR1')"
"('P40692', 'Q5VWN6')"
"('Q15717', 'Q9HB21')"
"('Q96P70', 'P06748')"
"('O14974', 'Q32P28')"
"('O43157', 'Q96EQ0')"
"('Q8TCJ0', 'Q9Y2S6')"
"('P33992', 'Q93077')"
"('Q5T619', 'Q9Y2D8')"
"('O00567', 'Q9HCE1')"
"('O96006', 'Q9Y5K5')"
"('Q14449', 'Q96EP1')"
"('Q96MG7', 'Q96MF7')"
"('Q1A5X7', 'Q8TAB5')"
"('Q5QP82', 'Q15560')"
"('Q8NGS0', 'Q9P2W3')"
"('O75147', 'Q9ULV4')"
"('P63167', 'Q15388')"
"('P19387', 'Q6P2C8')"
"('Q13501', 'Q12789')"
"('Q9UK85', 'Q86VR8')"
"('Q16543', 'Q15468')"
"('Q5T3J3', 'Q9Y3T9')"
"('Q00839', 'O00422')"
"('Q9NUD5', 'Q9NWT6')"
"('Q14839', 'O15131')"
"('Q8TB45', 'Q9UBU9')"
"('Q9NQZ3', 'Q8TB72')"
"('P86481', 'Q9BRA0')"
"('P06730', 'O00571')"
"('Q9NP87', 'P62256')"
"('P0C5Y9', 'O60814')"
"('Q8N474', 'P62136')"
"('Q9UPQ9', 'P60520')"
"('P07900', 'Q86UX6')"
"('Q9BZL1', 'Q6P2Q9')"
"('P18054', 'P15144')"
"('Q12933', 'Q8IWZ5')"
"('P48039', 'O15321')"
"('P60411', 'Q7Z417')"
"('Q13322', 'P31749')"
"('O60232', 'Q8N5M4')"
"('O60939', 'O60921')"
"('O75787', 'O95985')"
"('Q8TAI1', 'Q7Z3S9')"
"('P55060', 'P46108')"
"('P20701', 'O00214')"
"('Q6IQ16', 'P28702')"
"('P49286', 'P55290')"
"('Q66GS9', 'Q9NPJ6')"
"('Q9BXL7', 'O75604')"
"('P04406', 'P11940')"
"('Q8TEQ6', 'Q9HC77')"
"('Q9UBI6', 'P01111')"
"('P01909', 'Q9NRC1')"
"('Q9BZI7', 'Q9Y5S9')"
"('O75131', 'Q15717')"
"('Q13620', 'Q13619')"
"('P84996', 'Q12816')"
"('P24941', 'Q93009')"
"('Q9BQ66', 'Q03014')"
"('Q9UG63', 'Q8IWL3')"
"('Q8N4C6', 'P61163')"
"('P05067', 'Q9BVW5')"
"('P26599', 'Q12905')"
"('P36542', 'Q9P032')"
"('O95182', 'O95139')"
"('Q8NFH5', 'Q9BSU1')"
"('O14508', 'P06213')"
"('Q9NPD3', 'Q9GZX7')"
"('Q9P2R3', 'Q15910')"
"('Q96AH0', 'Q8N302')"
"('P18621', 'Q92905')"
"('Q13261', 'Q8N2W9')"
"('Q13509', 'Q13409')"
"('P05026', 'Q9NZJ7')"
"('Q86Z20', 'O75558')"
"('P31947', 'Q8NHY2')"
"('Q9Y3R4', 'P50542')"
"('P62158', 'P19438')"
"('Q01453', 'Q15717')"
"('O75832', 'P62195')"
"('Q8TDM0', 'P78537')"
"('Q9Y6H1', 'Q96HJ9')"
"('O76031', 'P0C7P0')"
"('Q9Y4A5', 'Q86TJ2')"
"('Q9BPX5', 'Q92890')"
"('P62879', 'P04049')"
"('O60260', 'O43242')"
"('Q9NPQ8', 'Q13885')"
"('P06493', 'P30307')"
"('P10636', 'P16885')"
"('P60410', 'O60336')"
"('P62258', 'P49736')"
"('Q5JST6', 'Q8IYE1')"
"('Q13464', 'Q13480')"
"('O14641', 'Q96GF1')"
"('O94979', 'P50750')"
"('Q15796', 'P33176')"
"('Q8N4V1', 'Q5DJT8')"
"('P08572', 'Q9BXJ5')"
"('P09874', 'Q96A37')"
"('P20648', 'Q86YB8')"
"('Q13263', 'P78317')"
"('P50990', 'Q504Q3')"
"('O43617', 'Q7Z392')"
"('Q86X55', 'Q13618')"
"('P07900', 'Q9HB71')"
"('P20591', 'P48995')"
"('Q9H3D4', 'O43390')"
"('Q8WVJ9', 'Q9BSQ5')"
"('O15061', 'P22681')"
"('O43852', 'Q9UI26')"
"('Q13263', 'P17023')"
"('Q9C002', 'Q13423')"
"('Q96RG2', 'Q8IWL3')"
"('Q9Y597', 'Q5TCZ1')"
"('P22061', 'P01889')"
"('P42858', 'P21980')"
"('Q9NQT8', 'Q9ULR3')"
"('P25490', 'Q14192')"
"('Q9BSI4', 'P07437')"
"('O15169', 'P35222')"
"('Q04917', 'Q96KP6')"
"('Q6A163', 'Q14533')"
"('P21912', 'O76031')"
"('Q86YM7', 'Q0VDD7')"
"('Q9UJZ1', 'P24539')"
"('Q15047', 'Q01860')"
"('O60832', 'Q15022')"
"('P25787', 'Q9UBT2')"
"('Q9NP79', 'P49840')"
"('P23396', 'P62701')"
"('Q96L50', 'Q92905')"
"('Q96FW1', 'P53985')"
"('Q8TAE8', 'P61221')"
"('Q53TQ3', 'P0C1Z6')"
"('P50148', 'P62330')"
"('P40933', 'Q13114')"
"('Q9UKX7', 'Q14145')"
"('Q96EP0', 'Q9Y6K9')"
"('Q9Y2R9', 'Q6PF06')"
"('P28066', 'Q86VP6')"
"('Q96T51', 'Q96P53')"
"('P20042', 'P51858')"
"('Q9Y6E7', 'P28331')"
"('Q16363', 'Q13885')"
"('Q3ZCQ8', 'Q9C002')"
"('Q15915', 'Q9UMX1')"
"('Q9Y570', 'Q03154')"
"('Q13485', 'Q14974')"
"('Q13509', 'Q9NU22')"
"('O95238', 'Q13465')"
"('P35998', 'Q9P2R7')"
"('P17735', 'P28799')"
"('Q9HCE1', 'P04183')"
"('P41235', 'P38484')"
"('Q16719', 'Q8TEM1')"
"('Q9NRD1', 'Q8NBM8')"
"('Q2NL82', 'P62244')"
"('P62263', 'P19320')"
"('P49747', 'O00244')"
"('O95900', 'Q9NP92')"
"('Q92556', 'O14514')"
"('P49746', 'Q9BXC9')"
"('Q9H3P7', 'Q8WUA7')"
"('Q99832', 'P20073')"
"('P33316', 'P11142')"
"('P60409', 'Q7Z3S9')"
"('Q71UI9', 'Q9UKV0')"
"('Q9NZS9', 'P51668')"
"('Q99719', 'Q8WYJ6')"
"('Q96JN0', 'Q9Y483')"
"('P15927', 'O75475')"
"('P01344', 'P22455')"
"('Q9NZR4', 'P68400')"
"('P17844', 'P08047')"
"('Q9Y228', 'Q16623')"
"('P61956', 'Q9NS56')"
"('Q09161', 'P52597')"
"('Q9UM47', 'O00308')"
"('Q96BT3', 'Q9HBM1')"
"('Q99459', 'Q63ZY3')"
"('P38398', 'O60934')"
"('Q5T3J3', 'Q13190')"
"('Q14055', 'Q05397')"
"('O60244', 'P52630')"
"('P27694', 'Q562R1')"
